title,description,State/Province,VCS Proponent,CCB Proponent,VCS Project Status,VCS Estimated Annual Emission Reductions,CCB Estimated Annual Emission Reductions,Total Buffer Pool Credits,VCS Project Type,AFOLU Activity,VCS Methodology,VCS Acres/Hectares,CCB Acres/Hectares,VCS Project Validator,Project Registration Date,Crediting Period Term,CCB Project Status,CCB Project Type,CCB Project Validator,CCB Standard Edition,Auditor Site Visit To and From Date,id
Livelihoods Mount Elgon Project,"The Mount Elgon Livelihood Project is a livelihood improvement project implemented by the NGO, Vi Agroforestry, in partnership with the Livelihoods Fund and Brookside Dairy Limited in the Mount Elgon region of Kenya. The project is tackling poverty, environmental degradation and climate change challenges. The Mount Elgon region is historically a densely populated area due to its favourable agro-ecology – fertile soils and high rainfall. The population is highly dependent on agriculture; hence, the lands have been stripped off its natural vegetation, and extensively cultivated and fragmented. Farmers practice subsistence agriculture – characterized by low inputs – resulting in low yields and rapid loss of soil fertility. Livestock husbandry is characterized by uncontrolled grazing, lack of quality feeds, and shortage of quality veterinary services.PUBLIC COMMENT PERIOD:This project is open for public comment from 4 September – 4  October 2019. <a href=mailto: secretariat@verra.org?subject=Livelihoods Mount Elgon Project, Kenya >4 September – 4  October 2019</a>.",Bungoma and Trans-Nzoia counties,"Livelihoods Fund SICAV SIF
Paris, France",,Registered,53142,,"10,060",Agriculture Forestry and Other Land Use,ALM,VM0017,35100 Hectares,,Tuev Nord Cert GmbH (Tuev Nord),19/04/2024,"1st, 02/03/2016 - 01/03/2036",,,,,,1944
MSA-1 Hydropower Plant,"MSA-1 Hydropower Plant is a Greenfield electricity generation project activity that consists in two run-off-river power plants which were developed by Araucanía Power S.A.. The nominal capacity of the power plant is 3,00 MW.The project is placed in the Pedregoso and Pichipedregoso river, located near Villarrica, Cautín province, Araucanía region.The project generates electricity to be delivered to the National Electric System (SEN, for its Spanish acronym). The connection point to the SEN is the nearest transmission line, property of CGE.The implementation of this hydropower project will displace the dispatch of thermoelectric power plants currently operating in the system and will contribute with greenhouse gases (GHG) emission reductions, specifically by avoiding the emissions of CO2 produced by the combustion of fossil fuels, delivering clean energy to the grid that would have otherwise been generated by the operation of grid-connected power plants and by the addition of new generation sources.This project was open for public comment from December 2, 2019- January 1, 2020.No comments were received.","Cautín Province, Villarrica","Araucania Power SpA
Oberösterreich, Austria
+56985810143
ew@araucaniapower.com",,Registered,10111,,,Energy industries (renewable/non-renewable sources),,AMS-I.D.,,,AENOR International S.A.U.,30/07/2020,"1st, 01/09/2018 - 31/08/2028",,,,,,1945
Renewable Wind Power Project by Hero Future Energies,"The main purpose of this project activity is to generate clean form of electricity through renewable  wind energy source. The project is a bundled project activity which involves installation of 50 MW  wind power project in India through SPVs. Over the 10 years of first crediting period, the project will replace anthropogenic emissions of greenhouse gases (GHG’s) estimated to be approximately 82,063 tCO2e per year, thereon displacing 87,600 MWh/year amount of electricity from the generation-mix of power plants connected to the Indian grid, which is mainly dominated by thermal/fossil fuel based power plant.  A 30 day public comment period was held for this project from 9 September to 9 October. No comments were received during the public comment period.",Andhra Pradesh,"Hero Future Energies Private Limited
karnataka, India",,Registered,50140,,,Energy industries (renewable/non-renewable sources),,ACM0002,,,"LGAI Technological Center, S.A. (Applus+)",09/09/2019,"1st, 29/12/2017 - 28/12/2027",,,,,,1946
Inner Mongolia Wujier Phase I Wind Power Project,"The Inner Mongolia Wujier Phase I Wind Power Project developed by Inner Mongolia Xinjin Wind Power Co., Ltd. is a grid-connected renewable energy project in Ordos city, Inner Mongolia, in the People’s Republic of China. It involves the installation of 33 wind turbines, each of which has a rated output of 1500 kW, providing a total installed capacity of 49.5 MW, with a predicted power supplied to the grid of 126,821MWh per annum. The provider of the wind turbines is Xinjiang Goldwind Science & Technology Co., Ltd. The purpose of the Project is to utilise a wind power facility to generate zero greenhouse gas (GHG) emissions electricity for the North China Power Grid (hereafter referred to as the “Grid”), thereby displacing electricity that is relatively carbon-intensive, with a Combined Margin Emission Factor of 0.9502 tCO2/MWh. The project is therefore expected to reduce emissions of GHG by an estimated 120,508 tCO2e per year during the first crediting period by displacing electricity from the Grid. The baseline scenario is the same as the scenario existing prior to the start of the implementation of the project activity: electricity delivered to the Grid by the project would have otherwise been generated by the operation of grid-connected power plants and by the addition of new generation sources.  A 30 day public comment period was held for this project from 11 September to 11 October. No comments were received during the public comment period.",Hangjin,"Inner Mongolia Xinjin Wind Power Co., Ltd.",,Registered,120508,,,Energy industries (renewable/non-renewable sources),,ACM0002,,,"LGAI Technological Center, S.A. (Applus+)",29/10/2019,"2nd, 04/07/2020 - 03/07/2030",,,,,,1947
"Badamsha Wind Farm in Kazakhstan- DUPLICATE, see ID 1954","The present project activity aims to generate electricity using wind energy by Wind Turbine Generator (WTG) in Badamsha Village, Kazakhstan. The project is a wind energy project which will generate clean and renewable electricity that will displace fossil fuel-based electricity through operation of or new addition of alternate fuels (fossil fuel) based power plants in regional grid. Hence, this project would lead to GHG emissions and also various air pollutants such as SOx, NOx, PM avoidance. In addition to contribute towards GHG emissions reductions the project will also: • Promote renewable energy projects in the region • Contribute to the sustainable development of the region, socially, environmentally and economically • Lead to reduction in usage of fossil fuels such as coal, oil, gas and so on and conservation of natural resources The total capacity of the present wind power project is equivalent to 48 MW and the annual average of estimated net electricity generation and estimated",Aktobe,"Eni S.p.A. Energy Solutions Initiatives Monitoring and Reporting
Rome, Italy
www.eni.com",,Inactive,172406,,,Energy industries (renewable/non-renewable sources),,ACM0002,,,,,"1st, 31/12/2019 - 30/12/2029",,,,,,1948
Longyuan Mulilo De Aar Maanhaarberg Wind Energy Facility,The purpose of this project (Longyuan Mulilo De Aar Maanhaarberg Wind Energy Facility) is to supply the wind-generated electricity to the grid of the Republic of South Africa (RSA).The project envisages the installation of a new grid connected wind farm at a site where no wind farm was operated prior to the implementation of the activity.The installed capacity of the wind farm is 100.5MW. The wind farm consists of 67 wind turbines and the associated infrastructure.The wind farm is located on the Swartkoppies and Maanhaarberge mountains to the south west of the town of De Aar in the Northern Cape Province of the RSA. Longyuan Mulilo De Aar Wind Power (RF) (Pty) Ltd is the wind farm developer.A 30 day public comment period was held for this project from 25 September to 25 October. No comments were received during the public comment period.,Northern Cape Province,Multiple Proponents,,Registered,304155,,,Energy industries (renewable/non-renewable sources),,ACM0002,,,EcoLance Private Limited,02/12/2020,"1st, 31/10/2017 - 30/10/2027",,,,,,1949
Longyuan Mulilo De Aar 2 North Wind Energy Facility,"The purpose of this project (Longyuan Mulilo De Aar 2 North Wind Energy Facility) is to supply the wind-generated electricity to the grid of the Republic of South Africa (RSA).The project envisages the installation of a new grid connected wind farm at a site where no wind farm was operated prior to the implementation of the activity.The installed capacity of the wind farm is 144MW.  The wind farm consists of 96 wind turbines and the associated infrastructure.The wind farm is located in the Pixley Ka Seme District close to the town of De Aar in the Northern Cape Province of the RSA, approximately 30 km northeast of the Longyuan Mulilo De Aar Maanhaarberg Wind Energy Facility. Longyuan Mulilo De Aar 2 North (RF) (Pty) Ltd is the wind farm developer.A 30 day public comment period was held for this project from 25 September to 25 October. No comments were received during the public comment period.",Northern Cape Province,Multiple Proponents,,Registered,433929,,,Energy industries (renewable/non-renewable sources),,ACM0002,,,TUV SUD South Asia Private Limited,22/02/2021,"1st, 01/11/2017 - 31/10/2027",,,,,,1950
HUANENG CHANGTU TAIPING WIND FARM PROJECT,"The project utilize wind resources for electricity generation through the construction of a wind farm with a total capacity of 49.5MW and a 220kV substation in Changtu County, Tieling City, Liaoning Province, P. R. China. It involves the installation of 33 sets ofwind turbine generator, each with a rated output of 1,500 kW, providing a total installed capacity of 49.5MW. The annual output of the proposed project to Northeast China Power Grid (NEPG) is estimated to be 106,630.5MWh 2 after the operation. Electricity enerated from clean renewable energy by the proposed project activity will displace part of the electricity from the NEPG, and thus GHG (CO2)generated by the operation of grid-connected coal fired power plants and by the addition of new generation sources of NEPG could be reduced. The estimated annual GHG emission reductions are 102,738 tCO2e.PUBLIC COMMENT PERIOD:This project was open for public comment from 26 September – 26 October 2019.",,"Huaneng Changtu Wind Power Co., Ltd.",,Withdrawn,102738,,,Energy industries (renewable/non-renewable sources),,ACM0002,,,"LGAI Technological Center, S.A. (Applus+)",,,,,,,,1951
Huaneng Tongyu Tuanjie Phase A Wind Farm Project,"The project utilize wind resources for electricity generation through the construction of a wind farm with a total capacity of 49.5MW in Tongyu County, Baicheng City, Jilin Province, P. R. China. The proposed project is invested and developed by Huaneng Jilin Power Generation Co., Ltd.. The electricity generated from the project will be sold to Northeast China Power Grid (NEPG).The installation and operation of 33 sets of 1,500 kW wind turbines with a total capacity of 49.5 MW which will supply an average annual generation of 99,842 MWh to Northeast China Power Grid.PUBLIC COMMENT PERIOD:This project was open for public comment from 26 September – 26 October 2019.",,"Huaneng Jilin Power Generation Co., Ltd.
Baicheng City, China",,Withdrawn,96208,,,Energy industries (renewable/non-renewable sources),,ACM0002,,,"LGAI Technological Center, S.A. (Applus+)",,,,,,,,1952
Floresta Verde REDD+ Project,"The project preserves 53 ,528  hectares in a critical region of the eastern amazon biome.  A region where there is high deforestation risk.   The project has quantifiable CCB benefits, as it provides full time employment, training and access for the families that live in and around the project area, to be self-empowered in a region where there are few job opportunities. The project also provides cookstoves with chimneys to help mitigate lung cancer and more efficiently burn fuel for cooking.  PUBLIC COMMENT PERIOD: This project was open for public comment from 29 October – 28 November 2019.   1)CCB_PRJ_DES_SUM_POR_DRAFT_1953_27OCT2019 2)CCB_PRJ_DES_SUM_ENG_DRAFT_1653_26OCT2019 3)Draft_REDD_CCB_VCS_Summary_MR_for_public_comments.pdf  4) Draft_REDD_MR_for_public_comments_portuguese.pdf

In June 2022, this project changed its name from The ARC REDD+ Project to the Floresta Verde REDD+ Project.",Para,"Floresta Verde Serviços Ltda.
Paragominas, Brazil","Floresta Verde Serviços Ltda.
Paragominas, Brazil",Registered,340000,340000,"119,549",Agriculture Forestry and Other Land Use,REDD,VM0015,53528 Hectares,53528 Hectares,4K Earth Sciences Private Limited,28/09/2020,"1st, 01/01/2016 - 31/12/2045",Verification public comment period expired,Reduced Emissions from Deforestation and Degradation,4K Earth Sciences Private Limited,CCB Third Edition,,1953
Badamsha Wind Farm in Kazakhstan,"The present project activity aims to generate electricity using wind energy by Wind Turbine Generator (WTG) in Badamsha Village, Kazakhstan. The project is a wind energy project which will generate clean and renewable electricity that will displace fossil fuel-based electricity through operation of or new addition of alternate fuels (fossil fuel) based power plants in regional grid. Hence, this project would lead to GHG emissions and also various air pollutants such as SOx, NOx, PM avoidance. In addition to contribute towards GHG emissions reductions the project will also: • Promote renewable energy projects in the region • Contribute to the sustainable development of the region, socially, environmentally and economically  Lead to reduction in usage of fossil fuels such as coal, oil, gas and so on and conservation of natural resources The total capacity of the present wind power project is equivalent to 48 MW and the annual average of estimated net electricity generation and estimated  PUBLIC COMMENT PERIOD: This project was open for public comment from 30 September – 30 October 2019 and did not receive any comment.",Aktobe,Multiple Proponents,,Registered,232137,,,Energy industries (renewable/non-renewable sources),,ACM0002,,,RINA S.p.A (RINA),26/11/2019,"1st, 24/03/2020 - 23/03/2030",,,,,,1954
Jilin TongHua Biomass Power Project,"The Project will utilize local surplus biomass residues (mainly as maize stalk) for generating heat and electricity. The Project involves installation of one 130t/h high pressure and high temperature biomass combustion boiler and one set of 30MW steam turbine and power generator. The install capacity is 30MW. The Project will establish straw collection stations within a 50km radius around the plant to facilitate the fuel collection. Further details on the equipments are provided in section 1.8. It is estimated that the Project can deliver 157 GWh of electricity to the Northeast China Power Grid (NEPG) and supply 0.66 million GJ of heat to local residents of Tonghua City per year, which consume nearly 247,500 tons of biomass residues, mainly maize stalk.  PUBLIC COMMENT PERIOD: This project is open for public comment from 30 September – 30 October 2019.",Jilin Province,"Tonghua Xinneng Biomass Power Cogeneration Co., Ltd.",,Registered,107078,,,Energy industries (renewable/non-renewable sources),,ACM0006,,,China Classification Society Certification Company (CCSC),30/09/2019,"1st, 01/05/2020 - 30/04/2030",,,,,,1955
Shaanxi Chengcheng Biomass Power Project,"Shaanxi Chengcheng Biomass Power Project (hereafter refers to as the proposed project) is located in economic development zone of Chengcheng County, Weinan City, Shaanxi Province, P.R. China. The proposed project will use forestry and agriculture residues (fruit tree branches and maize stalk) for power and heat generation. The electricity generated by the proposed project will be supplied to China Northwest Power Grid (NWPG) to replace equivalent electricity from fossil fuel power plants. The heat generated by the proposed project will be supplied for Chengcheng county’s centralized heating. The proposed project includes one 130t/h biomass boiler, one 30MW steam turbine and electricity generator unit. The installed capacity of the proposed project is 30MW, and the annual expected electricity generation is 202,500MWh, annual heat supply is 630,000GJ.  PUBLIC COMMENT PERIOD: This project was open for public comment from 30 September – 30 October 2019.",Shaanxi Province,Shaanxi Chengcheng Qinyao Power Company,,Registered,118019,,,Energy industries (renewable/non-renewable sources),,ACM0006,,,China Classification Society Certification Company (CCSC),30/09/2019,"1st, 01/04/2020 - 31/03/2030",,,,,,1956
My Son - Hoan Loc Viet Solar Energy Project,"The project activity involves the installation and operation of My Son – Hoan Loc Viet solar energy plant with peak capacity of 50 MW. This project is located in My Son commune, Ninh Son district, Ninh Thuan province, Viet Nam. The purpose of this project activity is to generate clean form of electricity through renewable solar energy source. The net electricity generated from this project (annual estimated electricity output is 77,567 MWh) is supplied to the national grid via the transmission line.  PUBLIC COMMENT PERIOD: This project was open for public comment from 8 October – 7 November 2019. No comments were received.",Ninh Thuan Province,My Son Hoan Loc Viet Solar Energy Joint Stock Company,,Registered,65871,,,Energy industries (renewable/non-renewable sources),,ACM0002,,,Tuev Sued Industrie Service GmbH (Tuev Sued),08/10/2019,"1st, 19/06/2019 - 18/06/2029",,,,,,1958
Aussenkehr solar,"The project consists of the construction and operation of a greenfield 6.318 MWp (5 MW) solar power plant near Aussenkehr, on the banks of the Orange River, Karasburg district in Namibia, at the border with and South Africa. Its 19,440 photovoltaic modules mounted on 1-axis tracking system will convey solar energy to decentralized inverters and inject electricity to the national grid.   PUBLIC COMMENT PERIOD: This project was open for public comment from 8 October – 7 November 2019. No comments were received.",Karasburg West,"AERA Group
Paris, France",,Registered,14673,,,Energy industries (renewable/non-renewable sources),,AMS-I.D.,,,Earthood Services Private Limited,11/08/2019,"1st, 20/11/2017 - 19/11/2027",,,,,,1959
Northern Great Plains Regenerative Grazing Project,"The Northern Great Plains Regenerative Grazing project aims to remove greenhouse gases from the atmosphere by implementing sustainable grazing management on multiple ranches in Montana. It is a grouped projected starting with 33,237 acres with annual estimates 27,435 VERs annually once practices are fully implemented. Planned grazing will increase the rest and rotation on pastures above baseline practices and reduce unrestricted grazing of livestock. Smaller pastures with more rotations allow the recovery of perennial grasses, which foster greater carbon inputs, higher retention of carbon as lignin and cellulose, and greater belowground production. This results in the sequestration of greenhouses gases from the atmosphere to the soil. 
PUBLIC COMMENT PERIOD: This project was open for public comment from 8 October – 7 November 2019. No comments were received during this time.",MT,"Native, a Public Benefit Corporation
VT, United States
+1 802-861-7707
kyle.okeefe@native.eco",,Registered,32514,,"9,163",Agriculture Forestry and Other Land Use,ALM,VM0026,13451 Acres,,Aster Global Environmental Solutions Inc.,18/03/2022,"1st, 01/12/2018 - 30/11/2038",,,,,,1960
"7 MW Hydel Based Power Unit on River Jatashankari, Chhattisgarh","The project activity involves installation of 7 MW Hydel power project in Chhattisgarh. The project will replace anthropogenic emissions of greenhouse gases (GHG’s) estimated to be approximately 22,957  tCO2e per year, thereon displacing 27,331 MWh/year amount of electricity from the generation-mix of power plants connected to the Indian electricity grid, which is mainly dominated by thermal/fossil fuel based power plant. Total estimated GHG emission reductions for the chosen 7 years renewable crediting period will be 160,699  tonnes of CO2.PUBLIC COMMENT PERIOD:This project was open for public comment from 17 October –16 November 2019. No comments were received.",Chattisgarh,Shalivahana Green Energy Limited,,Under development,22957,,,Energy industries (renewable/non-renewable sources),,AMS-I.D.,,,,,"2nd, 01/04/2019 - 31/03/2026",,,,,,1961
Daan Laifu Wind Farm Phase II Project,Units from this CDM project were converted into VCUs in compliance with VCS requirements. More information on the project can be found at CDM Project ID 7219: https://cdm.unfccc.int/Projects/DB/TUEV-RHEIN1346986646.85/view,Jilin Province,Credits transferred from approved GHG program,,Registered,109116,,,Energy industries (renewable/non-renewable sources),,ACM0002,,,Bureau Veritas Certification Holding SAS (Bureau Veritas),17/10/2019,"2nd, 17/09/2020 - 16/09/2027",,,,,,1962
Tataouine Solar Photovoltaic Plant in Tunisia,"The project activity involves installation of a 9.98 MW Greenfield solar power project in Tataouine Governorate, Tunisia. The project will be connected to the National Electrical Grid of Tunisia, which is mainly dominated by thermal/fossil fuel based power plant. The total installed capacity of the project activity is 9.98 MW, and the estimated average annual net electricity supply is 21.928 GWh/year. The project will displace an equivalent amount of power generation from fossil fuel combustion and reduce approximately 14,376 tCO2e anthropogenic emissions of greenhouse gases (GHG’s) per annum.  A 30 day public comment period was held for this project from 16 October to 17 November. No comments were received during the public comment period",Tataouine Governorate,SEREE,,Registered,14376,,,Energy industries (renewable/non-renewable sources),,AMS-I.D.,,,RINA S.p.A (RINA),21/11/2019,"1st, 14/03/2020 - 13/03/2030",,,,,,1963
Quang Minh Solar Power Project,"Quang Minh solar power project is located in village 9, Ea Wer commune, Buon Don district, Dak Lak province. The project’s purpose is to generate solar power from photo energy - a clean and renewable source to supply to the national grid via a Power Purchase Agreement (PPA) signed with the Electricity Corporation of Vietnam (EVN). The project's installed capacity and estimated annual gross power generation is 50 MW and 73,000 MWh, respectively. The net electricity generated will be supplied to the national grid via a transmission line.  A 30 day public comment period was held for this project from 21 October to 22 November. No comments were received during the public comment period.",Dak Lak,Srepok Solar Power Joint Stock Company,,Registered,55884,,,Energy industries (renewable/non-renewable sources),,ACM0002,,,KBS Certification Services Limited,12/10/2019,"1st, 31/01/2019 - 30/01/2029",,,,,,1964
Cat Hiep Solar Power Project,"The project activity involves the installation and operation of Cat Hiep solar power plant with capacity of 49.41 MW. This project is located in Hoi Van village, Cat Hiep commune, Phu Cat district, Binh Dinh province, Viet Nam. The purpose of this project activity is to generate clean form of electricity through renewable solar energy source. The net electricity generated from this project (annual estimated electricity output is 70,112 MWh) is supplied to the national grid via the transmission line.  PUBLIC COMMENT PERIOD: This project was open for public comment from 25 October – 24 November 2019.","Phu Cat District, Binh Dinh Province",Binh Dinh TTP Energy and High Technology Joint Stock Company,,Registered,59541,,,Energy industries (renewable/non-renewable sources),,ACM0002,,,Tuev Sued Industrie Service GmbH (Tuev Sued),14/07/2020,"1st, 05/06/2019 - 04/06/2029",,,,,,1965
Huaneng Gansu Huajialing 49.5MW Wind Power Project,"The project utilized wind resources for electricity generation through the construction of a 49.5MW wind farm. It involves the installation of 25 turbines of which 24 sets have a rated output of 2,000 kW and 1 set has a rated output of 1,500 kW, providing a total installed capacity of 49.5MW. The annual output of the proposed project to Northwest China Power Grid (NWPG) is estimated to be 101,580 MWh after the operation. Electricity generated from clean renewable energy by the proposed project activity will displace part of the electricity from the NWPG, and thus GHG (CO2) generated by the operation of grid-connected coal fired power plants and by the addition of new generation sources of NWPG could be reduced. The estimated annual GHG emission reductions are 91,046 tCO2e.PUBLIC COMMENT PERIOD:This project was open for public comment from 25 October – 24 November 2019.",Gansu Province,"Huaneng Huajialing Wind Power Co., Ltd.
Dingxi City, China",,Withdrawn,91046,,,Energy industries (renewable/non-renewable sources),,ACM0002,,,"LGAI Technological Center, S.A. (Applus+)",,,,,,,,1966
"Wind Power Project at Tamil Nadu, India","The project activity involves installation of 10.2 MW wind power project in Tamil Nadu. The project will replace anthropogenic emissions of greenhouse gases (GHG’s) estimated to be approximately 18,786 tCO2e per year, thereon displacing 20,510 MWh/year amount of electricity from the generation-mix of power plants connected to the Indian electricity grid, which is mainly dominated by thermal/fossil fuel based power plant. Total estimated GHG emission reductions for the chosen 7 year renewable crediting period will be 131,502 tonnes of CO2.This project was open for public comment from 17 Sep 11 - 16 Oct 11. No comments were received.PUBLIC COMMENT PERIOD:This project was open for public comment from 26 October – 25 November 2019.",Tamil Nadu,Shalivahana Green Energy Limited,,Under development,18786,,,Energy industries (renewable/non-renewable sources),,AMS-I.D.,,,,,"2nd, 01/01/2020 - 31/12/2026",,,,,,1967
Grid Connected Wind Energy Project in Gujarat,"CLP India Private Limited is developing a 250.8 MW wind project in Devbhoomi Dwarka district in the state of Gujarat, India. The main purpose of this project activity is to generate electricity through renewable energy source and to sale the same to Indian grid. The project activity has been planned to be implemented with capacity of 250.8 MW  PUBLIC COMMENT PERIOD: This project is open for public comment from 28 October – 27 November 2019.",Gujarat,"Apraava Energy Private Limited
Maharashtra, India
+91 - 22 - 6758 8888
navneet.kumar@apraava.com",,Registered,759489,,,Energy industries (renewable/non-renewable sources),,ACM0002,,,"LGAI Technological Center, S.A. (Applus+)",08/05/2020,"1st, 07/04/2023 - 06/04/2033",,,,,,1968
Carbono Verde AR Project,"The project reforests 39,150 hectares. The project goal is to reforest with trees the degraded pasture in the Amazon Biome, with the goal to prove out the economic feasibility of reforestation in the Amazon via the help of carbon credit sales, with the hopes that other large scale reforestation projects can be completed as investment grade enterprises.Reforest 39,150 hectares of land and maintain this tree cover on the land indefinitely. Of which 20,386 hectares are already reforested.PUBLIC COMMENT PERIOD:This project was open for public comment from 29 October – 28 November 2019. 
1)CCB_PRJ_DES_SUM_POR_DRAFT_1969_27OCT20192)CCB_PRJ_DES_SUM_ENG_DRAFT_1969_26OCT20193)Draft_A/R_CCB_VCS_Summary_MR_for_public_comments.pdf 4) Draft_A/R_MR_for_public_comments_portuguese.pdf

In June 2022, this project changed its name from The ARC A/R Project to the Carbono Verde AR Project.",Para,"Amazon Reforestation Consortium.
Para, Brazil","Amazon Reforestation Consortium.
Para, Brazil",Registered,516780,516780,,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,39150 Hectares,39150 Hectares,,17/12/2020,"1st, 01/01/2016 - 31/12/2045",Verification public comment period expired,"Afforestation, Reforestation and Revegetation",,CCB Third Edition,14-May-2021 to 22-May-2021,1969
Ventus Wind Farm in El Salvador,"The project consists of the implementation of one wind farm located in Metapán municipality, northwestern region of the El Salvador Republic. The implementation of these project activity ensures energy security, diversification of the grid generation mix and sustainable growth of the electricity generation sector in El Salvador.  PUBLIC COMMENT PERIOD: This project was open for public comment from 28 October – 27 November 2019.",Metapan,"Ventus, S.A.de C.V",,Registered,103593,,,Energy industries (renewable/non-renewable sources),,ACM0002,,,Earthood Services Private Limited,04/12/2019,"1st, 01/11/2020 - 31/10/2030",,,,,,1970
SAKAL SOLAR FARM,"Sakal solar farm involves the construction and operation of a solar photovoltaic plant of 20.229 MW in Baralé Ndiaye, department and region of Louga, Senegal. The solar power plant covers an area of 40 hectares, and is equipped with 62,100 modules of 315-335 W each, exporting power to the national grid.     The project activity is the installation of a new grid-connected renewable power plant (Greenfield). The baseline scenario is the following: “Electricity delivered to the grid by the project activity would have otherwise been generated by the operation of grid-connected power plants that are fossil fuel fired power plants. The baseline scenario is the same as the scenario existing prior to the implementation of the project activity.  PUBLIC COMMENT PERIOD: This project was open for public comment from 30 October – 29 November 2019.",Louga,"AERA Group
Paris, France",,Registered,22270,,,Energy industries (renewable/non-renewable sources),,ACM0002,,,Earthood Services Private Limited,11/06/2020,"1st, 24/07/2018 - 23/07/2028",,,,,,1971
Guangxi Longan Biomass Power Project,"The project is located in Overseas Chinese Administration District, Longan, Nanning, Guangxi, China. The project plans to build 1*130t/h sub-high temperature sub-high circulating fluidized bed biomass boiler with a 1*30WM extraction condensing turbo-generator. The main fuel is agriculture-forestry waste residues. The power generated by plant is delivered to Southern Power Grid. The annual power generation is expected to be 200,000 MWh. The annual emission reduction is expected to be 120,000 tons.  PUBLIC COMMENT PERIOD: This project was open for public comment from 30 October – 29 November 2019.",Guangxi,Guangxi Deli New energy Technology Co. ltd,,Registered,95542,,,Energy industries (renewable/non-renewable sources),,ACM0006,,,China Classification Society Certification Company (CCSC),12/12/2019,"1st, 22/01/2019 - 21/01/2029",,,,,,1972
Huaneng Tongyu Tuanjie Phase E Wind Farm Project,"The project  utilized wind resources for electricity generation through the construction of a wind farm with a total capacity of 48MW in Tongyu County, Baicheng City, Jilin Province, P. R. China. The proposed project is invested and developed by Huaneng Jilin Power Co., Ltd.. The electricity generated from the project will be sold to Northeast China Power Grid (NEPG).  PUBLIC COMMENT PERIOD: A 30 day public comment period was held for this project from 1 November to 1 December. No comments were received during the public comment period.",Jilin Province,"Huaneng Jilin Power Co., Ltd.",,Rejected by Administrator,103905,,,Energy industries (renewable/non-renewable sources),,ACM0002,,,"LGAI Technological Center, S.A. (Applus+)",,"2nd, 01/07/2020 - 30/06/2027",,,,,,1973
Srepok 1 Solar Power Project,"Srepok 1 solar power project is located in village 9, Ea Wer commune, Buon Don district, Dak Lak province in Vietnam. The project’s purpose is to generate solar power from photo energy - a clean and renewable source to supply to the national grid via a Power Purchase Agreement (PPA) signed with the Electricity Corporation of Vietnam (EVN). The project's installed capacity and estimated annual gross power generation is 50 MW and 73,000 MWh, respectively. The net electricity generated is supplied to the national grid via a transmission line.  PUBLIC COMMENT PERIOD: A 30 day public comment period was held for this project from 1 November to 1 December. No comments were received during the public comment period.",Dak Lak Province,Dai Hai Power Development and Invesment Joint Stock Company,,Registered,64206,,,Energy industries (renewable/non-renewable sources),,ACM0002,,,KBS Certification Services Limited,14/07/2020,"1st, 28/01/2019 - 27/01/2029",,,,,,1974
Hong Phong 4 Solar 48 MW Project,"Hong Phong 4 Solar 48MW Project is located in Hong Phong commune, Bac Binh district, Binh Thuan province Viet Nam. The installed capacity and estimated annual gross power generation of Dak Pone Hydropower Project is 48 MW and 93,000 MWh, respectively. The net electricity generated will be supplied to the national grid via a transmission line.  PUBLIC COMMENT PERIOD: A 30 day public comment period was held for this project from 1 November to 1 December. No comments were received during the public comment period.",Binh Thuan Province,"Ha Do Binh Thuan Co., Ltd
Zurich, Switzerland
+41 44 500 43 71
thomas.finsterwald@myclimate.org",,Registered,77400,,,Energy industries (renewable/non-renewable sources),,ACM0002,,,Carbon Check (India) Private Ltd.,01/11/2019,"1st, 04/06/2019 - 03/06/2029",,,,,,1975
Renewable Solar Power Project by Shapoorji Pallonji,"The main purpose of this project activity is to generate clean form of electricity through renewable solar energy source. The project is a bundled project activity which involves installation of 220 MW solar project in different states of India through SPVs.  Over the 10 years of first crediting period, the project will replace anthropogenic emissions of greenhouse gases (GHG’s) estimated to be approximately 361,077 tCO2e per year, thereondisplacing 385,440 MWh/year amount of electricity from the generation-mix of power plants connected to the Indian grid, which is mainly dominated by thermal/fossil fuel based power plant.  PUBLIC COMMENT PERIOD: This project was open for public comment from 4 November – 4 December 2019.",Multiple Sites,Multiple Proponents,,Registered,432770,,,Energy industries (renewable/non-renewable sources),,ACM0002,,,Earthood Services Private Limited,23/08/2020,"1st, 08/04/2018 - 07/04/2028",,,,,,1976
Oualidia 1&2 Wind Projects,"The bundled project consists of the construction and operation of two adjacent greenfield wind power plants located in Oualidia commune, Sidi Bennour province, Casablanca Settat region, Morocco. It involves the setting up of reconditioned, grid-connected wind turbines for a total installed capacity of 35,600 kW which will capture wind energy and produce electricity for export to Morocco national grid. The average power generation of the project for the first 10 years is estimated at 69,617 MWh per year, resulting in emissions reductions of 44,294 tons CO2eq per year on average.",Sidi Bennour province,"AERA Group
Paris, France",,Inactive,44294,,,Energy industries (renewable/non-renewable sources),,,,,,,,,,,,,1977
