inputs.question,inputs.answer,inputs.context,inputs.ground_truth,self_harm,violence_reason,sexual_reason,hate_unfairness,gpt_groundedness_reason,sexual,hate_unfairness_reason,violence,self_harm_reason,gpt_coherence,gpt_fluency,gpt_groundedness,gpt_relevance,gpt_similarity,f1_score,index,status
"What is the project province, country, latitude, and longitude of this project?","{'project_state_province': 'Karnataka'}","1.9 Project Location
The project activity is located in the Tehsils of Kundagol, Shiggaon, Savanur in the districts of
Haveri and Dharwad, in the state of Karnataka. The project consists of installation of 125 WTGs
of capacity 0.8 MW each. The geo-coordinates of the project sites are : 150 6 / 29.27 // N and 750
9/ 57.94// E.
Project Location
Project Location","{'project_state_province': 'Karnataka'}","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","1","1","1","1","5","1","270","-"
"What is the project proponents, includind organization name, phone number and email address, state/city and country of the entity responsible for managing this carbon project?","[{'organization_name': 'Grow Indigo Private Ltd', 'email': 'umang.agarwal@growindigo.co.in', 'state/city': 'Mumbai', 'country': 'India'}]","[['Organization name', None, None, '', 'Grow Indigo Private Ltd', ''], ['Contact person', None, None, '', 'Umang Agarwal and Usha Barwale Zehr', ''], ['', 'Title', '', '', 'Head, Carbon; and Executive Director', '']]
1.6 Project Proponent
6

[['Address', None, None, '', '19, Raj Mahal, 84, Veer Nariman Road, Church gate, Mumbai, India,', ''], [None, None, None, None, 'Pin - 400 020', None], ['Telephone', None, None, '', '+91-7088007666 (Umang Agarwal)', ''], [None, None, None, None, '+91-9823157763 (Usha Barwale Zehr)', None], ['', 'Email', '', '', 'umang.agarwal@growindigo.co.in, usha.zehr@growindigo.co.in', '']]
VCS Project Description Template, v4.3","[{'organization_name': 'Grow Indigo Private Ltd', 'email': 'usha.zehr@growindigo.co.in', 'country': 'India'}]","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","1","1","1","1","1","0.8","271","-"
"What is the project proponents, includind organization name, phone number and email address, state/city and country of the entity responsible for managing this carbon project?","[{'organization_name': 'Solenova Ltd', 'email': 'info@azule-energy.com', 'country': 'Angola'}]","[['Organization name', None, None, '', 'Solenova Ltd', ''], ['Contact person', None, None, '', 'Jaime Luzolo', ''], ['', 'Title', '', '', 'Managing Director', ''], ['', 'Address', '', '', 'Av. 4 de Fevereiro,197, Torres Atlántico. Luanda, Angola', ''], ['', 'Telephone', '', '', '+244 222 637 440', ''], ['', 'Email', '', '', 'info@azule-energy.com', '']]
1.5 Project Proponent","[{'organization_name': 'Solenova Ltd', 'email': 'info@azule-energy.com', 'state/city': 'Luanda'}]","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","1","1","1","1","1","0.71","272","-"
"What is the project sector, either Renewable Energy or Forestry and Land Use?","{'project_sector': 'Forestry and Land Use'}","1.2 Sectoral Scope and Project Type
Scope 14. AFOLU: Reduced Emissions from Deforestation and Degradation (REDD)
Project Category: Activities that reduce emissions from unplanned deforestation (AUDD)","{'project_sector': 'Forestry and Land Use'}","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","1","1","1","1","5","1","273","-"
"What is the project province, country, latitude, and longitude of this project?","{'project_country': 'Uganda'}","1.7 Project Location
The individual project areas of this PD are located in Bushenyi, Kabale, Kanungu, Kisoro,
Mbarara, Ntungamo, and Rukungiri Districts of Uganda. Most of the project activity is centered
around Bushenyi, Kabale and Kanungu generally around latitude 0.5 S, longitude 30 E.
v3.4 4

MONITORING REPORT : VCS Version 3
TIST has adopted a ""grouped project"" approach because it is expanding throughout Uganda. As
required by VCS, a KML file has been prepared that defines the extent of the geographic area of
the expanded program. The KML file generally defines the districts listed above. See Appendix
06.","{'project_country': 'Uganda'}","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","1","1","1","1","5","1","274","-"
"What is the project proponents, includind organization name, phone number and email address, state/city and country of the entity responsible for managing this carbon project?","[{'organization_name': 'Gujarat Forest Department'}]","[['', 'Organization name', '', '', 'Gujarat Forest Department', ''], ['', 'Contact person', '', '', 'Smt. Aradhana Sahu, IFS', ''], ['', 'Title', '', '', 'Conservator of Forests Godhra Circle', ''], ['Address', 'Address', None, '', 'O/o CF Godhra Circle, ""Aranyak"", Van Chetna Kendra, Opp. Panchamrut', ''], [None, None, None, None, 'Dairy, Dhanol, Godhra-389001', None], ['', 'Telephone', '', '', '9443180239 & 7574950040/ 02672-261852', ''], ['', 'Email', '', '', 'cfsfgodhra@gmail.com', '']]
1.5 Project Proponent
5

Project Description: VCS Version 4.0","[{'organization_name': 'Gujarat Forest Department'}]","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","1","1","1","1","5","1","275","-"
"What is the project proponents, includind organization name, phone number and email address, state/city and country of the entity responsible for managing this carbon project?","[{'organization_name': 'Basin Electric Power Cooperative'}]","[['', 'Organization name', '', 'Basin Electric Power Cooperative', None, None], ['', 'Contact person', '', 'Rebecca A. Kern', None, None], ['', 'Title', '', '', 'Vice President – Resource Planning & Rates', ''], ['Address', None, None, '', '1717 East Interstate Avenue', ''], [None, None, None, None, 'Bismarck, ND 58503-0564', None], ['', 'Telephone', '', '', '(701) 557-5752', ''], ['', 'Email', '', '', 'bkern@bepc.com', '']]
[['', 'Organization name', '', 'Basin Electric Power Cooperative', None, None], ['', 'Contact person', '', 'Zane Zuther', None, None], ['', 'Title', '', '', 'Utility Planning Analyst', ''], ['Address', None, None, '', '1717 East Interstate Avenue', ''], [None, None, None, None, 'Bismarck, ND 58503-0564', None], ['', 'Telephone', '', '', '(701) 557-5638', ''], ['', 'Email', '', '', 'zzzuther@bepc.com', '']]
1.5 Project Proponent
5

Project Description: VCS Version 4.1","[{'organization_name': 'Basin Electric Power Cooperative'}]","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","3","1","1","1","5","1","276","-"
"What are the start and end dates of the crediting period for this project?","No relevant information found in context","1.10 Project Crediting Period 12","No relevant information found in context","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","1","1","1","1","1","1","277","-"
"What is the methodology of this project?","{'project_methodologies': ['AMS-I.D.']}","2.2 Applicability of Methodology
The project activity utilizes wind power for electricity generation, which falls into the category of
renewable energy. Electricity generated by the project is supplied to the Southern grid which
comprises of a large number of power generating units, this satisfies the necessary criteria i.e.
“Electricity generation for a system” as per Appendix B of Simplified modalities and procedures
for small-scale clean development mechanism project activities to be classified into category I.D.
The baseline methodology selected for this project is AMS 1.D: Grid connected renewable
electricity generation.
v3.2 11

[['', 'SI.', '', '', 'Applicability conditions in the methodology', '', '', 'Justification', ''], [None, 'No', None, '', None, None, '', None, None], ['1.', None, None, '“This methodology comprises renewable energy\ngeneration units, such as photovoltaic, hydro,\nTidal/wave, wind, geothermal and renewable\nbiomass:\na) Supplying electricity to a national or a regional\ngrid. ”\nb) Supplying electricity to an identified consumer\nfacility via national/regional grid through a\ncontractual arrangement such as wheeling.', None, None, 'The project activity involves the\nsetting up of two WTGs, i.e.,\nrenewable generating unit of power\ngeneration capacity of 2 X 2.00MW\nto harness a renewable source of\nenergy (wind power potential) and\nsupply generated electricity to\nregional grid (ie, Southern Grid of\nIndia) through a wheeling\nagreement with TANGEDCO In the\nprocess, an equivalent quantum of\nelectricity that would have been\ngenerated by the grid by the grid\nelectricity generation mix is\ndisplaced by the project activity.\nMoreover, Table 2 of AMS. I.D.,\nVersion 17 confirms that projects\nwhich supplies its electricity to\nnational/regional grid falls under\nAMS.I.D. Hence the project activity\ncomplies with this criterion of the\nmethodology.', None, None], ['2.', None, None, 'Illustration of respective situations under which each\nof the methodology (i.e. AMS-I.D, AMS-I.F and AMS-\nI.A) applies is included in Table.\nSI. Project type AMS\nNo. I.A I.D 1.F\n1. P roject supplies electricity to a \uf0fc\nnational/regional grid\n2. P roject displaces grid \uf0fc\nelectricity consumption (e.g.\ngrid import)\nand/or captive fossil fuel\nelectricity generation at the', None, None, 'Project supplies electricity to an\nidentified consumer facility via\nregional grid (ie, Southern grid)\nthrough wheeling agreement with\nthe TANGEDCO. Hence as per the\ntable the methodology AMS I.D is\napplicable for this project.', None, None]]
[['SI.\nNo.', 'Project type', 'AMS', None, None], [None, None, 'I.A', 'I.D', '1.F'], ['1.', 'P roject supplies electricity to a\nnational/regional grid', '', '\uf0fc', ''], ['2.', 'P roject displaces grid\nelectricity consumption (e.g.\ngrid import)\nand/or captive fossil fuel\nelectricity generation at the', '', '', '\uf0fc']]
PROJECT DESCRIPTION : VCS Version 3
Version 17, 17/06/2011 as described in Appendix B of the simplified modalities and procedures
for small-scale CDM project activities.
In accordance with the provisions of AMS-I.D, the following tools were used.
“Tool to calculate the emission factor for an electricity system” (Version 04/EB 75 Annex 15)
As the project emission is zero, emission reductions are equivalent to the emissions avoided in
the baseline scenario. The baseline is calculated on the net electricity exported to the grid and the
grid emission factor. The avoided emissions can be measured directly by the quantum of
electricity exported and imported is monitored by electricity meters at the generation site and at
the point of connection to the grid.
The project activity meets the eligibility criteria to use simplified modalities and procedure for
small scale CDM project activities as set out in paragraph 6 (c) of decision 17/CP.7 in the
following ways:
v3.2 12

[['', '', '', 'user end (excess electricity\nmay be supplied to a grid)', '', '', '', '', ''], [None, None, '3.', 'P roject supplies electricity to\nan\nidentified consumer facility via\nnational/regional grid (through\na\ncontractual arrangement such\nas wheeling)', '', '\uf0fc', '', None, None], [None, None, '4.', 'P roject supplies electricity to a\nmini grid system where, in the\nbaseline all generators use\nexclusively fuel oil and/or\ndiesel\nfuel', '', '', '\uf0fc', None, None], [None, None, '5.', 'P roject supplies electricity to\nhousehold users (included in\nthe project boundary) located\nin\noff grid areas', '\uf0fc', '', '', None, None], ['3.', 'This methodology is applicable to project activities\nthat:\n(a)Install a new power plant at a site where there\nwas no renewable energy power plant\noperating prior to the implementation of the project\nactivity (Greenfield plant);\n(b) Involve a capacity addition; (c) Involve a retrofit of\n(an) existing plant(s); or\n(d) Involve a replacement8 of (an) existing plant(s).', None, None, None, None, None, None, 'The project activity is a Green Field\nProject and involves the installation\nof a new power plant at a site\nwhere there was no renewable\nenergy power plant operating prior\nto the implementation of the project\nactivity.'], ['4.', 'Hydro power plants with reservoirs that satisfy at\nleast one of following conditions are\neligible to apply this methodology:\nThe project activity is implemented in an existing\nreservoir with no change in the volume of reservoir;\nThe project activity is implemented in an existing\nreservoir, where the volume of\nreservoir is increased and the\npower density of the project\nactivity, as per definitions given in the Project\nEmissions section, is greater than\nThe project activity results in new reservoirs and the\npower density of the power plant, as per definitions\ngiven in the Project Emissions section, is greater\nthan 4 W/m2.', None, None, None, None, None, None, 'The project activity involves\ngeneration of electricity for\nharnessing the wind power\npotential by means of installation of\nWTGs and does not involve any\nhydro power generation. Hence,\nthis point is not applicable for the\nproject activity under consideration.'], ['5.', '“If the unit added has both renewable and non-\nrenewable components (e.g. a wind/diesel unit), the\neligibility limit of 15 MW for a small-scale CDM\nproject activity applies only to the renewable\ncomponent. If the unit added co-fired fossil fuel9, the\ncapacity of the entire unit shall not exceed the limit of\n15 MW”.', None, None, None, None, None, None, 'The project activity solely involves\nwind power generation with a\ncapacity of 2 X 2.00 MW i.e. 4.00\nMW, which is less than the 15 MW\ncap stipulated by the methodology\napplicability criterion under\nconsideration. Hence the project\nactivity complies with this criterion\nof the methodology.'], ['6.', 'Combined heat and power (co- generation) systems\nare not eligible under this category”', None, None, None, None, None, None, 'The project activity involves\ngeneration of only one form of\nenergy – electricity, by harnessing\nthe wind power potential of the']]
PROJECT DESCRIPTION : VCS Version 3
v3.2 13

[['', '', 'region through WTG installation\nand does not entail the installation\nor operation of any cogeneration\nsystem. Hence the project activity\ncomplies with this criterion of the\nmethodology.'], ['7.', '“In the case of project activities that involve the\naddition of renewable energy generation units at an\nexisting renewable power generation facility, the\nadded capacity of the units added by the project\nshould be lower than 15 MW and should be\nphysically distinct10 from the existing units.”', 'The project activity is a green field\nproject and does not involve\ncapacity addition of renewable\nenergy generation units at any\nexisting renewable power\ngeneration facility. Hence the\nproject activity complies with this\ncriterion of the methodology.'], ['8.', '“In the case of retrofit or replacement, to qualify as a\nsmall scale project, the total output of the modified or\nretrofitted or replacement unit shall not exceed the\nlimit of 15 MW.”', 'The renewable energy generating\nWTG employed by the project\nactivity is a Greenfield project and\nhence do not involve retrofitting or\nmodification of any existing\nrenewable energy generation\nfacility. Hence the project activity\ncomplies with this criterion of the\nmethodology. Thus, the project\nactivity fulfils all the applicability\ncriteria of the simplified small scale\nmethodology AMS-I.D. Version 17.']]
PROJECT DESCRIPTION : VCS Version 3
As demonstrated above, the project complies with all the criteria to fit into the specified
methodology.","{'project_methodologies': ['AMS-I.D.']}","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","3","1","1","1","3","1","278","-"
"What is the project sector, either Renewable Energy or Forestry and Land Use?","{'project_sector': 'Renewable Energy'}","E.1. Brief description how comments by local stakeholders have been invited and compiled:
>>
The stakeholders meeting was conducted by the PP along with the wind farm developer Suzlon Energy
Ltd. Mr. P.R. Chile represented PPL. Mr. Abhijit Mahadik represented Suzlon Energy Ltd.. The stake
holder meeting was conducted on March 8, 2007 at Gudepachgani. It was attended by local people, who
were directly or indirectly impacted by the project activity.
The project activity is carried out at an arid location which is economically less attractive to locals. No
agricultural activity or any other activity such as tourism or mineral excavation carried out at the project
site. The project activity has not resulted in any sort of migration of local people. Project promoter
strongly feels that, this project activity will prove out to be very conducive to the sustainable development
of this region. In order to assess the impact of the wind power project activity on its locality, the project
promoter undertook stake holder consultation at the project site. The purpose was to assess the impact &
address the negative impact if any?
These stake holders were identified based on the environmental, socio-economic and health impact of
project activity on people living in & around the project activity. Stake holders were mostly farmers. The
stake holders were invited from the neighbouring locations, as the project activity area is far away from
the residential area. Project Promoter sent invitation letters to all the respective stakeholders, requesting
them to attend the stakeholder meeting and share their views on the project activity.
37

PROJECT DESIGN DOCUMENT FORM (CDM-SSC-PDD) - Version 03
CDM – Executive Board
Mr. Chile of PPL introduced all the stakeholders with the project activity & made the locals aware about
the role of wind power project in India. The stakeholders were also informed about wind project-installed
capacity, unit generation, O & M arrangements, environmental benefits and need of such renewable
energy projects. The stake holders were requested to ask their queries/experience about this project
activity. Most of the people have heard about wind power project. They call this as Pawan chakki in
native Marathi.
The meeting was conducted in a very amicable atmosphere. Project Promoter thanked all the stake
holders for making themselves available despite their busy schedule for the meeting & sharing their
precious views on the project activity.","{'project_sector': 'Renewable Energy'}","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","1","1","1","1","5","1","279","-"
"What is the project sector, either Renewable Energy or Forestry and Land Use?","{'project_sector': 'Renewable Energy'}","1.2 Sectoral Scope and Project Type
The project activity falls under consideration of the grouped project activity. The project activity
instances as part of the grouped project will have the following parameters.
Sectoral Scope : 01 - Energy industries (renewable / non-renewable sources)
Project Type : I - Renewable Energy Projects
Project Category : Each project activity instances will apply only small-scale hydro project
Methodology : AMS-I.D.: Grid connected renewable electricity generation – Version
18.0
The project activity under consideration is a grouped project activity.","{'project_sector': 'Renewable Energy'}","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","1","1","1","1","5","1","280","-"
"What are the start and end dates of the crediting period for this project?","{'crediting_period_start': '2020-05-31', 'crediting_period_end': '2030-05-30'}","1.9 Project Crediting Period
According to paragraph 3.9.2 and 3.9.3 of VCS standard (v4.4), for ALM projects not focusing
exclusively on reducing N O, CH and/or fossil-derived CO emissions, the project crediting 2 4 2
period shall be a minimum of 20 years up to a maximum of 100 years, which may be renewed
at most four times with a total project crediting period not to exceed 100 years. Thus, the
project adopts 10 years, three times renewable crediting period for a total of 40 years. The first
crediting period of the project is 10 years from 31-May-2020 to 30-May-2030.","{'crediting_period_start': '2020-05-31', 'crediting_period_end': '2060-05-30'}","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","1","NaN","NaN","0.75","281","-"
"What is the methodology of this project?","No relevant information found in context","3.1 Application of Methodology","No relevant information found in context","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","1","1","1","1","5","1","282","-"
"What is the project province, country, latitude, and longitude of this project?","{'project_state_province': 'Duzce', 'project_country': 'Turkey'}","[['Point', None, None, '', '(Geographical-WGS-84)-(Degree,', None, None, None, ''], [None, None, None, None, 'Fraction)', None, None, None, None], [None, None, None, '', 'Latitude', '', '', 'Longitude', ''], ['', '1', '', '', '40.89269039', '', '', '31.26761903', ''], ['', '2', '', '', '40.89087352', '', '', '31.26930213', ''], ['', '3', '', '', '40.88630040', '', '', '31.26914212', ''], ['', '4', '', '', '40.88691125', '', '', '31.26673619', ''], ['', '5', '', '', '40.88811500', '', '', '31.26437343', ''], ['', '6', '', '', '40.88935559', '', '', '31.26444496', '']]
1.12 Project Location
The project was implemented over an area of roughly 309 acres of area in with named Duzce
Solid Waste Landfill Facility in Hecinler, Duzce Province, Merkez District. The facility is located
approximately 10 km east of Duzce province and 1 km northeast of Hecinler, which is the closest
settlement to the facility. The coordinates of the project location are longitude of
31°15'51.744348""E and latitude of 40°53'17.214""N.
Table 4. Duzce LFG System coordinates
13

[['', '7', '', '', '40.88988273', '', '', '31.26413982', ''], ['', '8', '', '', '40.89032464', '', '', '31.26415224', ''], ['', '9', '', '', '40.89031893', '', '', '31.26333446', ''], ['', '10', '', '', '40.89030770', '', '', '31.26172579', ''], ['', '11', '', '', '40.89030697', '', '', '31.26162244', ''], ['', '12', '', '', '40.89090311', '', '', '31.26087120', ''], ['', '13', '', '', '40.89100585', '', '', '31.26102536', ''], ['', '14', '', '', '40.89217681', '', '', '31.26258538', ''], ['', '15', '', '', '40.89232011', '', '', '31.26277630', ''], ['', '16', '', '', '40.89311288', '', '', '31.26383253', ''], ['', '17', '', '', '40.89313536', '', '', '31.26387550', ''], ['', '18', '', '', '40.89314764', '', '', '31.26392509', ''], ['', '19', '', '', '40.89314731', '', '', '31.26398360', '']]
Project Description: VCS Version 4.1
Figure 6. Location of the Duzce Province, Google Earth
14

Project Description: VCS Version 4.1
Figure 7. Location of the Duzce project. Source: Google Earth
Figure 8. Photographs of the Duzce Landfill Gas (LFG) project
15

Project Description: VCS Version 4.1
Figure 9. Photographs of the Duzce Landfill Gas (LFG) project","{'project_state_province': 'Hecinler', 'project_latitude': 40.89, 'project_longitude': 31.26}","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","1","1","1","1","1","0.2","283","-"
"What are the start and end dates of the crediting period for this project?","{'crediting_period_start': '2017-02-28', 'crediting_period_end': '2027-02-27'}","1.6 Project Crediting Period
Crediting Period Start date: 28-February-2017
Crediting Period End date: 27-February-2027
The project activity adopts renewable crediting period of 10 years period which can be renewed for 2
times.
v3.1 4

JOINT PROJECT DESCRIPTION & MONITORING REPORT: VCS Version 3","{'crediting_period_start': '2017-02-28', 'crediting_period_end': '2027-02-27'}","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","3","1","5","1","1","1","284","-"
"What are the start and end dates of the crediting period for this project?","{'crediting_period_start': '2018-04-05', 'crediting_period_end': '2028-04-04'}","1.9 Project Crediting Period
7

Project Description: VCS Version 4.1
According to the 3.8.1 of VCS standard V4.2, for ALM projects focusing exclusively on reducing N O, 2
CH and/or fossil-derived CO emissions, the project crediting period shall be either seven years, twice 4 2
renewable for a total of 21 years, or ten years fixed. ten years fixed of crediting period is applied in the
project, which is from 5-April-2018 to 04-April-2028.","{'crediting_period_start': '2018-04-05', 'crediting_period_end': '2028-04-04'}","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","3","1","1","1","1","1","285","-"
"What are the start and end dates of the crediting period for this project?","No relevant information found in context","1.6 Duration of the project activity/crediting period:","No relevant information found in context","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","1","1","1","1","1","1","286","-"
"What are the start and end dates of the crediting period for this project?","{'crediting_period_start': '2020-10-26', 'crediting_period_end': '2027-10-25'}","1.9 Project Crediting Period
As in accordance with VCS standard version 4.3 paragraph 3.8.1, the project crediting period is seven
years, twice renewable for a total of 21 years. Therefore, The first crediting period of the project is from
26/10/2020 to 25/10/2027.","{'crediting_period_start': '2020-10-26', 'crediting_period_end': '2027-10-25'}","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","5","NaN","NaN","1","287","-"
"What is the project proponents, includind organization name, phone number and email address, state/city and country of the entity responsible for managing this carbon project?","[{'organization_name': 'Kangping County Liaobei Seedling Development Co., Ltd.', 'email': 'kangpinglyth@163.com', 'country': 'China'}]","[['Organization name', None, None, '', 'Kangping County Liaobei Seedling Development Co., Ltd.', ''], ['', 'Contact person', '', '', 'Guan Xinming', ''], ['', 'Title', '', '', 'General Manager', ''], ['Address', None, None, '', 'Daxintun Village, Xiguantun Township, Kangping County,', ''], [None, None, None, None, 'Shenyang City, Liaoning Province', None], ['', 'Telephone', '', '', '+86 15940030772', ''], ['', 'Email', '', '', 'kangpinglyth@163.com', '']]
1.5 Project Proponent
5
V 4.0

Project Description: VCS Version 4.0","[{'organization_name': 'Kangping County Liaobei Seedling Development Co., Ltd.', 'telephone': '15940030772', 'email': 'kangpinglyth@163.com'}]","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","1","1","1","1","1","0.83","288","-"
"What is the methodology of this project?","No relevant information found in context","2.2 Applicability of Methodology
Please refer to section B.2 of the PDD of UNFCCC registered CDM project with Ref No: 4572.
The web link for the same is given below:
http://cdm.unfccc.int/Projects/DB/LRQA%20Ltd1300097036.88/view","No relevant information found in context","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","1","1","1","1","5","1","289","-"
"What are the start and end dates of the crediting period for this project?","{'crediting_period_start': '2020-01-23', 'crediting_period_end': '2040-01-22'}","1.9. Project Crediting Period
The Crediting Period will be of 20 years and 0 months. This period starts on 23-01-2020 and ends on
22-01-2040. The beginning of the Crediting Period coincides with the Project Start Date.","{'crediting_period_start': '2020-01-23', 'crediting_period_end': '2040-01-22'}","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","1","1","5","1","1","1","290","-"
"What is the project province, country, latitude, and longitude of this project?","{'project_state_province': 'Makueni County', 'project_country': 'Kenya'}","1.12 Project Location
Initial project activity instances will be located in Makueni County, lower eastern Kenya (Figure
1). However, this project has been designed as a grouped project, with a clearly defined
geographic area, where new project activity instances may be added, being the entire Country of
Kenya.
Only the farms/land parcels that meet the land eligibility of the methodology, i.e., not in the
wetlands category and not converted from native vegetation – constitute the ‘project area’ in the
strict sense of the word. These requirements are checked during farmer/farm registration. The
planned total size of the initial project activity instances is 40,000 ha.
The GIS files of the physical/geographical locations including the GPS points/tracks of the
individual farm plots will be provided as separate documents.
13

Project Description: VCS Version 4.2
Figure 1. The project location is within smallholder farms located in Makueni County, Kenya, where
the first project activity instances will be located.","{'project_country': 'Kenya'}","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","1","1","5","1","1","0.57","291","-"
"What is the project proponents, includind organization name, phone number and email address, state/city and country of the entity responsible for managing this carbon project?","[{'organization_name': 'M/s Biltube Core Boards Ltd.', 'country': 'India'}]","[['Name of the Party involved\n((host) indicates a host\nparty)', 'Private and/or Public entity\n(ies) Project participants\n(as applicable)', '', 'Kindly indicate if the party', ''], [None, None, None, 'involved wishes to be', None], [None, None, None, 'considered as project', None], [None, None, None, 'participant (Yes/No)', None], ['India', 'M/s Biltube Core Boards Ltd.\n(BCBL), India.', 'No', None, None], ['Kenya', 'Pioneer Carbon Limited', 'No', None, None]]
A.3 Project participants:","[{'organization_name': 'JPMorgan Ventures Energy Corporation', 'email': 'info@algomahighlandsconservancy.org'}]","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","1","1","1","1","1","0.13","292","-"
"What is the project province, country, latitude, and longitude of this project?","No relevant information found in context","1.9 Project Location
The project is located in central district of Muğla Province. The project area comprises of the
locality of Muğla province. The site includes no planning or existing radar, private or
government facility, public works and national park. The UTM coordinates of the turbines are
listed below:
7 Project Introductory File of Fatma WEPP.
v3.2 8

PROJECT DESCRIPTION: VCS Version 3","No relevant information found in context","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","1","NaN","NaN","1","293","-"
"What are the start and end dates of the crediting period for this project?","{'crediting_period_start': '2016-04-01', 'crediting_period_end': '2026-03-31'}","1.6 Project Crediting Period
As per VCS Standard (v3.6, 19 Oct 2016), section 3.8.1 the crediting period (for non-AFOLU
projects and ALM projects) will be renewed twice for the duration of ten year each. The first
crediting period of the project activity was considered from 1-April-2006 to 31-March-2016. And
project WTGs have a standard lifetime of 20 years. Hence, the project has been applied for
Renewal Crediting period for a period of 10 years.
v3.3 10

PROJECT DESCRIPTION : VCS Version 3
The duration of the 2nd Crediting Period is as follows:
Start date : 1st April 2016
End date : 31st March 2026.","{'crediting_period_start': '2016-04-01', 'crediting_period_end': '2026-03-31'}","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","3","1","1","1","1","1","294","-"
"What are the start and end dates of the crediting period for this project?","{'crediting_period_start': '2013-04-01', 'crediting_period_end': '2023-03-31'}","1.6 Project Crediting Period
As a non-AFOLU project focusing on the reduction of CO2 from fossil fuels, the Project Crediting
Period is 10 years, with the possibility to renew twice.
The projected start date for the initial 10 year crediting period is April 1, 2013 and ending March
31, 2023.","{'crediting_period_start': '2013-04-01', 'crediting_period_end': '2023-03-31'}","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","3","1","5","1","1","1","295","-"
"What is the project proponents, includind organization name, phone number and email address, state/city and country of the entity responsible for managing this carbon project?","[{'organization_name': 'M/s. D. J. Malpani'}]","[['Organization name', '', 'M/s. D. J. Malpani', ''], ['Contact person', '', 'Mr. Prafulla Khinvasara', ''], ['Title', '', 'Head – Wind Power Project', ''], ['Address', '', 'Malpani Estate, Kasara Dumala, Sangamner , Maharashtra -422', ''], [None, None, '605, India', None], ['Telephone', '', '0731 428 9086', ''], ['Email', '', 'registry@enkingint.org', '']]
1.5 Project Proponent","[{'organization_name': 'M/s D. J. Malpani'}]","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","1","1","1","1","3","1","296","-"
"What are the start and end dates of the crediting period for this project?","{'crediting_period_start': '2021-07-21', 'crediting_period_end': '2041-07-20'}","1.9 Project Crediting Period
The crediting period of the project is 20 years. The period starts from July 21st, 2021, and ends on July
20th, 2041.","{'crediting_period_start': '2021-07-21', 'crediting_period_end': '2041-07-20'}","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","3","1","5","1","1","1","297","-"
"What are the start and end dates of the crediting period for this project?","{'crediting_period_start': '2021-11-08', 'crediting_period_end': '2031-11-07'}","1.9 Project Crediting Period
Thisprojectadoptsfixedcreditingperiodsof10years. Thecreditingperiod is10yearsfrom
8/11/2021to7/11/2031(bothdaysincluded).
9

Joint Project Description & Monitoring Report: VCS Version 4.2","{'crediting_period_start': '2021-11-08', 'crediting_period_end': '2031-11-07'}","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","1","1","5","1","1","1","298","-"
"What is the project sector, either Renewable Energy or Forestry and Land Use?","{'project_sector': 'Renewable Energy'}","[['Sectoral scope1', '1: Energy (renewable/non-renewable)', ''], ['', '7: Transport', ''], ['Project activity', 'Grouped Project', ''], [None, None, ''], ['type', '', None], ['', None, None]]
1.3 Sectoral Scope and Project Type
The project activity falls under consideration of the grouped project activity. The project
activityinstances as part of the grouped project will have the following parameters.","{'project_sector': 'Renewable Energy'}","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","1","1","1","1","5","1","299","-"
